address_key,customer_id,House_no_Name,Street,City,State,country,pin,phone,primary_email,secon_email,eff_start_date
508750981,1035,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,412-691-6835,Alexandra_Mendoza@ymail.com,Alexandra_Mendoza123@ymail.com,2022-01-01
-1672415189,1036,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6836,Mark_Chen@ymail.com,Mark_Chen123@ymail.com,2022-01-01
28903897,1037,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6837,Thomas_Duran@ymail.com,Thomas_Duran123@ymail.com,2022-01-01
1250863121,1038,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6838,Robert_Velasquez@ymail.com,Robert_Velasquez123@ymail.com,2022-01-01
-1708399904,1039,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6839,Erin_Jones@ymail.com,Erin_Jones123@ymail.com,2022-01-01
-165482646,1040,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6840,Brian_Pratt@ymail.com,Brian_Pratt123@ymail.com,2022-01-01
-642879236,1041,,25HT,Millington street,new Island,USA,,412-691-6841,Jerome_Kim@ymail.com,Jerome_Kim123@ymail.com,2022-03-05
-46584610,1042,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,412-691-6842,Christopher_Velazquez@ymail.com,Christopher_Velazquez123@ymail.com,2022-01-01
1187330391,1043,,25HT,Millington Road,new Island,USA,,412-691-6843,Brittany_Moreno@ymail.com,Brittany_Moreno123@ymail.com,2022-01-01
-839612473,1044,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,412-691-6844,Cheryl_Jackson@ymail.com,Cheryl_Jackson123@ymail.com,2022-01-01
1632763886,1045,25HT,Millington Road,new Island,New York,USA,611348.0,412-691-6845,Andrew_Shaffer@ymail.com,Andrew_Shaffer123@ymail.com,2022-03-05
-46584610,1046,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,412-691-6846,Thomas_Williams@ymail.com,Thomas_Williams123@ymail.com,2022-01-01
-1723689093,1047,21D, Washford Close, Bordon,texas,USA,477270.0,412-691-6847,Dr._Joyce_Hayes@ymail.com,Dr._Joyce_Hayes123@ymail.com,2022-01-01
-382961791,1048,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6848,John_Vega@ymail.com,John_Vega123@ymail.com,2022-01-01
508750981,1049,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,412-691-6849,Amanda_Rush@ymail.com,Amanda_Rush123@ymail.com,2022-01-01
-1672415189,1050,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6850,Jeremy_Smith@ymail.com,Jeremy_Smith123@ymail.com,2022-01-01
28903897,1051,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6851,Julia_Taylor@ymail.com,Julia_Taylor123@ymail.com,2022-01-01
1250863121,1052,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6852,Leon_Brown@ymail.com,Leon_Brown123@ymail.com,2022-01-01
-1708399904,1053,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6853,Antonio_Greer@ymail.com,Antonio_Greer123@ymail.com,2022-01-01
-165482646,1054,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6854,Jean_Brown@ymail.com,Jean_Brown123@ymail.com,2022-01-01
1187330391,1055,,25HT,Millington Road,new Island,USA,,412-691-6855,Kevin_Foster@ymail.com,Kevin_Foster123@ymail.com,2022-01-01
-46584610,1056,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,412-691-6856,Phillip_Harvey@ymail.com,Phillip_Harvey123@ymail.com,2022-01-01
1187330391,1057,,25HT,Millington Road,new Island,USA,,412-691-6857,Veronica_Hunt@ymail.com,Veronica_Hunt123@ymail.com,2022-01-01
-839612473,1058,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,412-691-6858,Jessica_Jensen@ymail.com,Jessica_Jensen123@ymail.com,2022-01-01
1250863121,1059,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6859,Laura_Hughes@ymail.com,Laura_Hughes123@ymail.com,2022-01-01
-1708399904,1060,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6860,Jeffery_Robinson@ymail.com,Jeffery_Robinson123@ymail.com,2022-01-01
-165482646,1061,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6861,Paul_Hopkins@ymail.com,Paul_Hopkins123@ymail.com,2022-01-01
1632763886,1062,25HT,Millington Road,new Island,New York,USA,611348.0,412-691-6862,Logan_Jones@ymail.com,Logan_Jones123@ymail.com,2022-03-05
-46584610,1063,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,412-691-6863,Tammy_Mccullough@ymail.com,Tammy_Mccullough123@ymail.com,2022-01-01
1187330391,1064,,25HT,Millington Road,new Island,USA,,412-691-6864,Dylan_White@ymail.com,Dylan_White123@ymail.com,2022-01-01
-1723689093,1065,21D, Washford Close, Bordon,texas,USA,477270.0,412-691-6865,Travis_Collins@ymail.com,Travis_Collins123@ymail.com,2022-01-01
-382961791,1066,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6866,Dawn_Petty@ymail.com,Dawn_Petty123@ymail.com,2022-01-01
508750981,1067,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,412-691-6867,Michael_Coleman@ymail.com,Michael_Coleman123@ymail.com,2022-01-01
-1672415189,1068,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6868,Patrick_Miller@ymail.com,Patrick_Miller123@ymail.com,2022-01-01
-1011476264,1069,Flat 2 72 Saftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6869,Philip_Mccall@ymail.com,Philip_Mccall123@ymail.com,2022-03-05
1250863121,1070,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6870,Timothy_Wilson@ymail.com,Timothy_Wilson123@ymail.com,2022-01-01
-1708399904,1071,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6871,Courtney_Ellis@ymail.com,Courtney_Ellis123@ymail.com,2022-01-01
-165482646,1072,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6872,Patricia_Allen@ymail.com,Patricia_Allen123@ymail.com,2022-01-01
1632763886,1073,25HT,Millington Road,new Island,New York,USA,611348.0,412-691-6873,Aaron_Mills@ymail.com,Aaron_Mills123@ymail.com,2022-03-05
-46584610,1074,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,412-691-6874,Laura_Jacobs@ymail.com,Laura_Jacobs123@ymail.com,2022-01-01
1187330391,1075,,25HT,Millington Road,new Island,USA,,412-691-6875,Felicia_Jones@ymail.com,Felicia_Jones123@ymail.com,2022-01-01
-839612473,1076,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,412-691-6876,Heather_Turner@ymail.com,Heather_Turner123@ymail.com,2022-01-01
1250863121,1077,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6877,Catherine_Miller@ymail.com,Catherine_Miller123@ymail.com,2022-01-01
-1708399904,1078,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6878,John_Wallace@ymail.com,John_Wallace123@ymail.com,2022-01-01
-165482646,1079,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6879,Linda_Chen@ymail.com,Linda_Chen123@ymail.com,2022-01-01
1187330391,1080,,25HT,Millington Road,new Island,USA,,412-691-6880,Rebecca_Ortiz@ymail.com,Rebecca_Ortiz123@ymail.com,2022-01-01
-1723689093,1081,21D, Washford Close, Bordon,texas,USA,477270.0,412-691-6881,Duane_Rubio@ymail.com,Duane_Rubio123@ymail.com,2022-01-01
-382961791,1082,72F,Private Road,Southwell,New York,USA,248452.0,412-691-6882,Jason_Valentine@ymail.com,Jason_Valentine123@ymail.com,2022-01-01
508750981,1083,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,412-691-6883,Rita_Novak@ymail.com,Rita_Novak123@ymail.com,2022-01-01
-1672415189,1084,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6884,Alicia_Jenkins@ymail.com,Alicia_Jenkins123@ymail.com,2022-01-01
28903897,1085,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,412-691-6885,Christopher_French@ymail.com,Christopher_French123@ymail.com,2022-01-01
1250863121,1086,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,412-691-6886,Sharon_Nelson@ymail.com,Sharon_Nelson123@ymail.com,2022-01-01
-1708399904,1087,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6887,Natalie_Spencer@ymail.com,Natalie_Spencer123@ymail.com,2022-01-01
-671956728,1088,598A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6888,Tyler_Dyer@ymail.com,Tyler_Dyer123@ymail.com,2022-03-05
1187330391,1089,,25HT,Millington Road,new Island,USA,,412-691-6889,Megan_Owens@ymail.com,Megan_Owens123@ymail.com,2022-01-01
-1830482149,1090, 43D, Golden Lane,old delhi,new delhi,India,573336.0,412-691-6890,Jessica_Ramirez@ymail.com,Jessica_Ramirez123@ymail.com,2022-03-05
1187330391,1091,,25HT,Millington Road,new Island,USA,,412-691-6891,Gabrielle_Rodriguez@ymail.com,Gabrielle_Rodriguez123@ymail.com,2022-01-01
-839612473,1092,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,412-691-6892,Craig_Lopez@ymail.com,Craig_Lopez123@ymail.com,2022-01-01
-1672415189,1093,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,412-691-6893,Jamie_Blackwell@ymail.com,Jamie_Blackwell123@ymail.com,2022-01-01
793771319,1094,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443873.0,412-691-6894,Craig_Nichols@ymail.com,Craig_Nichols123@ymail.com,2022-03-05
2056943456,1095,2 Quayle Avenue, Blackpool,city hall,chicago,USA,204166.0,412-691-6895,Richard_Warren@ymail.com,Richard_Warren123@ymail.com,2022-03-05
-1708399904,1096,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,412-691-6896,Jason_Dillon@ymail.com,Jason_Dillon123@ymail.com,2022-01-01
-165482646,1097,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,412-691-6897,Thomas_Thompson@ymail.com,Thomas_Thompson123@ymail.com,2022-01-01
1187330391,1098,,25HT,Millington Road,new Island,USA,,412-691-6898,James_Mills@ymail.com,James_Mills123@ymail.com,2022-01-01
-46584610,1099,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,412-691-6899,Ryan_Jackson@ymail.com,Ryan_Jackson123@ymail.com,2022-01-01
1187330391,1100,,25HT,Millington Road,new Island,USA,,412-691-6900,Gina_Bray@ymail.com,Gina_Bray123@ymail.com,2022-01-01
